City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,bandon,-8.7425,51.7469,8.77,80,100,2.13,IE,2023-10-15 17:36:12
69,kenai,-151.2583,60.5544,6.75,88,100,7.72,US,2023-10-15 17:36:12
70,fortuna,-124.1573,40.5982,22.74,79,0,3.6,US,2023-10-15 17:36:13
71,road town,-64.6167,18.4167,30.02,70,20,2.57,VG,2023-10-15 17:32:37
72,sodankyla,26.6,67.4167,0.52,99,100,2.21,FI,2023-10-15 17:36:14
73,wailua homesteads,-159.378,22.0669,29.24,64,20,6.69,US,2023-10-15 17:33:20
74,singaraja,115.0882,-8.112,25.36,77,18,1.23,ID,2023-10-15 17:36:14
75,kingston,-76.7936,17.997,31.53,76,20,3.6,JM,2023-10-15 17:33:52
76,akureyri,-18.0878,65.6835,4.96,81,100,0.0,IS,2023-10-15 17:36:16
77,quellon,-73.6167,-43.1167,9.11,83,90,2.07,CL,2023-10-15 17:33:56
78,ingeniero jacobacci,-69.5448,-41.3427,13.14,27,28,7.14,AR,2023-10-15 17:36:17
79,cadale,46.3222,2.7603,26.42,85,72,4.86,SO,2023-10-15 17:36:17
80,flying fish cove,105.6791,-10.4217,25.82,88,75,4.63,CX,2023-10-15 17:36:18
81,chonchi,-73.8092,-42.6128,11.18,82,82,1.18,CL,2023-10-15 17:36:18
82,labuan,115.2417,5.2767,27.2,88,20,0.0,MY,2023-10-15 17:36:18
83,palmer,-72.3287,42.1584,13.34,60,95,0.89,US,2023-10-15 17:32:36
84,maxixe,35.3472,-23.8597,20.58,81,100,3.06,MZ,2023-10-15 17:36:19
85,uturoa,-151.4333,-16.7333,25.83,74,2,4.17,PF,2023-10-15 17:36:20
86,hami,93.45,42.8,12.73,39,38,3.81,CN,2023-10-15 17:29:07
87,cedar city,-113.0619,37.6775,24.11,21,0,2.06,US,2023-10-15 17:32:48
88,oranjemund,16.4333,-28.55,16.16,74,0,2.18,NA,2023-10-15 17:36:22
89,dudinka,86.1778,69.4058,-6.85,91,31,3.58,RU,2023-10-15 17:36:22
90,monticello,-93.7941,45.3055,16.23,60,0,5.66,US,2023-10-15 17:36:23
91,yokadouma,15.05,3.5167,19.81,99,100,0.14,CM,2023-10-15 17:36:23
92,hermanus,19.2345,-34.4187,15.66,90,19,4.26,ZA,2023-10-15 17:36:24
93,thompson,-97.8558,55.7435,14.09,54,20,1.03,CA,2023-10-15 17:36:24
94,cumbal,-77.7915,0.9088,13.06,72,75,5.14,CO,2023-10-15 17:33:25
95,vilyuysk,121.6247,63.7553,-5.46,82,83,2.24,RU,2023-10-15 17:36:25
96,nadym,72.5167,65.5333,-0.21,83,100,3.85,RU,2023-10-15 17:36:26
97,atafu village,-172.5159,-8.5421,28.17,78,99,9.01,TK,2023-10-15 17:36:26
98,tagta,59.9164,41.6504,4.97,70,0,3.09,TM,2023-10-15 17:36:27
99,isafjordur,-23.124,66.0755,4.0,99,100,5.63,IS,2023-10-15 17:36:27
100,barra de santo antonio,-35.5072,-9.4047,26.6,75,53,4.81,BR,2023-10-15 17:36:28
101,keflavik,-22.5624,64.0049,8.24,87,75,6.69,IS,2023-10-15 17:36:28
102,college,-147.8028,64.8569,5.67,89,75,2.06,US,2023-10-15 17:36:29
103,saipan,145.701,15.1355,26.39,94,0,2.06,MP,2023-10-15 17:36:29
104,anadyr,177.4833,64.75,0.28,93,40,1.0,RU,2023-10-15 17:36:30
105,ambositra,47.25,-20.5167,16.5,78,2,1.06,MG,2023-10-15 17:36:30
106,hwado,127.3075,37.6525,11.38,72,0,0.16,KR,2023-10-15 17:36:31
107,north manchester,-85.7686,41.0006,12.39,77,96,5.72,US,2023-10-15 17:36:31
108,port alfred,26.891,-33.5906,16.77,95,100,1.79,ZA,2023-10-15 17:36:32
109,bodo,14.405,67.28,6.08,64,40,9.26,NO,2023-10-15 17:36:32
